City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
360,chipinge,-20.1883,32.6236,19.33,75,2,1.39,ZW,1707174848
361,coahuayana de hidalgo,18.7,-103.6583,29.14,58,5,3.16,MX,1707174849
362,dryden,49.7833,-92.7503,1.15,96,100,2.07,CA,1707174849
363,lusambo,-4.9667,23.45,20.85,97,71,0.38,CD,1707174849
364,wajir,1.7471,40.0573,27.35,59,59,6.62,KE,1707174849
365,broome,42.2506,-75.833,1.49,71,0,4.63,US,1707174850
366,mar del plata,-38.0023,-57.5575,21.08,82,75,9.26,AR,1707174850
367,strezhevoy,60.7333,77.5889,-7.8,94,100,5.81,RU,1707174850
368,bardai,11.65,7.2333,18.63,15,16,6.21,NG,1707174850
369,hasaki,35.7333,140.8333,2.94,84,100,11.4,JP,1707174851
370,inarajan village,13.2736,144.7484,28.54,80,99,8.7,GU,1707174851
371,tuy hoa,13.0833,109.3,21.35,93,39,1.72,VN,1707174851
372,tadworth,51.2911,-0.2359,11.36,76,75,6.69,GB,1707174851
373,aioun,16.6614,-9.6149,22.14,8,0,5.81,MR,1707174852
374,al bawiti,28.3492,28.8659,11.31,56,0,2.63,EG,1707174852
375,hanover,52.3705,9.7332,9.65,87,75,9.77,DE,1707174852
376,gadzhiyevo,69.2551,33.3362,-18.84,100,99,3.29,RU,1707174852
377,kone,-21.0595,164.8658,25.92,92,100,3.18,NC,1707174837
378,tres arroyos,-38.3739,-60.2798,29.19,38,64,2.41,AR,1707174853
379,polyarnyy,69.1989,33.4478,-18.17,100,98,3.48,RU,1707174853
380,saint-nicolas-de-port,48.6309,6.3004,6.18,83,100,4.12,FR,1707174854
381,ngong,-1.3618,36.6566,15.85,79,63,2.68,KE,1707174854
382,saurimo,-9.6608,20.3916,18.1,98,96,1.33,AO,1707174854
383,palmer,42.1584,-72.3287,2.2,36,0,3.09,US,1707174854
384,san fernando de apure,7.8878,-67.4724,28.33,68,100,2.39,VE,1707174855
385,zaragoza,41.6561,-0.8773,11.67,93,100,1.03,ES,1707174620
386,rongelap,11.1635,166.8941,26.51,82,88,9.05,MH,1707174855
387,guerrero negro,27.9769,-114.0611,18.96,53,95,3.5,MX,1707174855
388,newman,37.3138,-121.0208,15.64,81,99,1.34,US,1707174856
389,bandar abbas,27.1865,56.2808,18.02,31,45,1.97,IR,1707174856
390,itoman,26.1247,127.6694,18.43,66,75,5.66,JP,1707174856
391,sarupathar,26.1984,93.8094,12.92,96,97,1.26,IN,1707174857
392,amfissa,38.525,22.3731,12.62,48,0,2.79,GR,1707174857
393,itapirapua,-15.8233,-50.6133,20.79,98,100,1.2,BR,1707174857
394,alghero,40.5589,8.3181,12.05,100,20,2.57,IT,1707174858
395,babaeski,41.4325,27.0931,9.45,84,46,3.89,TR,1707174858
396,qazvin,36.2797,50.0049,4.09,59,100,2.7,IR,1707174858
397,tucuma,-0.1833,-50.05,25.67,89,28,3.34,BR,1707174858
398,lautoka,-17.6167,177.4667,29.92,74,75,4.63,FJ,1707174859
399,tangalle,6.024,80.7911,23.47,86,92,4.82,LK,1707174859
400,nalut,30.3333,10.85,11.09,44,0,2.69,LY,1707174859
401,bakchar,57.0186,82.0711,-5.54,91,100,5.02,RU,1707174859
402,long beach,33.767,-118.1892,14.53,97,100,2.24,US,1707174782
403,ksar chellala,35.2122,2.3189,10.27,34,61,4.39,DZ,1707174860
404,constantia,44.1833,28.65,9.38,76,53,7.24,RO,1707174860
405,doka,13.5167,35.7667,23.55,39,8,5.29,SD,1707174861
406,weno,7.4515,151.8468,28.97,65,40,5.66,FM,1707174861
407,yoloten,37.2989,62.3597,7.81,45,4,5.94,TM,1707174861
408,berdigestyakh,62.0989,126.6992,-38.95,100,75,0.82,RU,1707174862
409,kingston,17.997,-76.7936,25.12,97,42,0.45,JM,1707174483
410,el granada,37.5027,-122.4694,15.66,79,75,4.12,US,1707174862
411,as sulayyil,20.4607,45.5779,16.14,38,100,3.44,SA,1707174862
412,wangjing,24.6,94.0333,11.4,85,99,0.15,IN,1707174863
413,belyy yar,53.6039,91.3903,-14.06,85,92,2.0,RU,1707174863
414,cestos city,5.46,-9.5828,27.02,88,35,2.67,LR,1707174863
415,argo,37.6333,22.7333,11.67,56,0,2.64,GR,1707174863
416,bataipora,-22.2953,-53.2711,28.64,47,100,2.51,BR,1707174864
417,shimoda,34.6667,138.95,5.06,92,100,7.02,JP,1707174864
418,ocos,14.5094,-92.1933,30.1,67,1,5.73,GT,1707174864
419,gebeit,21.0667,36.3167,13.21,61,100,1.35,SD,1707174864
420,gornopravdinsk,60.05,69.9,0.34,98,100,4.35,RU,1707174865
421,freetown,8.484,-13.2299,27.84,78,0,2.57,SL,1707174865
422,petropavlovka,50.6114,105.3196,-23.39,99,88,1.33,RU,1707174865
423,lent'ekhi,42.7856,42.7261,2.4,98,100,1.93,GE,1707174865
424,lorengau,-2.0226,147.2712,29.13,76,90,4.88,PG,1707174866
425,machico,32.7,-16.7667,19.35,79,20,3.09,PT,1707174866
426,sisimiut,66.9395,-53.6735,-18.13,73,7,6.31,GL,1707174866
427,debila,33.5167,6.95,14.0,40,0,4.07,DZ,1707174866
428,brigantine,39.4101,-74.3646,4.44,68,0,1.79,US,1707174867
429,carbonear,47.7332,-53.2148,1.53,97,100,7.7,CA,1707174867
430,burang,30.25,81.1667,-16.85,67,39,2.14,CN,1707174867
431,dezhou,37.4486,116.2925,-4.24,86,10,0.76,CN,1707174868
432,kaa-khem,51.6833,94.7333,-28.11,94,25,1.24,RU,1707174868
433,hamilton,39.1834,-84.5333,9.87,59,0,5.66,US,1707174844
434,howrah,22.5892,88.3103,22.0,88,40,0.0,IN,1707174868
435,lihue,21.9789,-159.3672,25.58,64,75,8.75,US,1707174869
436,dembi dolo,8.5333,34.8,17.15,64,56,1.56,ET,1707174869
437,adra,36.7496,-3.0206,15.77,65,100,1.85,ES,1707174869
438,dadukou,26.5479,101.7054,7.05,81,1,0.7,CN,1707174869
439,fairfield,41.2668,-73.3162,3.18,48,0,6.69,US,1707174685
440,borogontsy,62.6683,131.1683,-37.99,100,99,0.86,RU,1707174870
441,mangai,-4.05,19.5333,20.95,96,86,0.33,CD,1707174870
442,broken hill,-31.95,141.4333,18.02,43,0,10.51,AU,1707174871
443,nikol'sk,53.7189,46.0712,-1.47,98,100,2.29,RU,1707174871
444,al kharijah,25.4514,30.5464,10.87,46,0,2.75,EG,1707174871
445,waimea,20.0231,-155.6717,20.81,87,19,2.24,US,1707174871
446,akonolinga,3.7667,12.25,20.87,45,63,0.98,CM,1707174872
447,ihosy,-22.4,46.1167,20.05,97,80,1.91,MG,1707174872
448,lalitpur,27.6667,85.3333,6.21,87,20,1.03,NP,1707174872
449,maych'ew,12.7875,39.5422,12.09,82,36,1.53,ET,1707174872
450,vung tau,10.346,107.0843,24.59,88,14,5.82,VN,1707174873
451,bukoba,-1.3317,31.8122,19.4,84,9,2.28,TZ,1707174873
452,lobito,-12.3481,13.5456,27.27,80,100,2.51,AO,1707174873
453,mersa matruh,31.3525,27.2453,14.72,81,0,4.94,EG,1707174873
454,vytegra,61.0064,36.4481,-16.47,97,96,1.79,RU,1707174874
455,kavaratti,10.5669,72.642,27.85,74,77,3.56,IN,1707174874
456,kilju,40.9642,129.3278,-6.82,84,100,0.67,KP,1707174874
457,saint-philippe,-21.3585,55.7679,21.77,75,85,3.09,RE,1707174874
458,vorkuta,67.5,64.0,-25.61,98,40,2.0,RU,1707174875
459,pandan,14.0453,124.1694,25.53,86,82,6.02,PH,1707174875
460,ikalamavony,-21.15,46.5833,20.47,92,97,1.46,MG,1707174875
461,san carlos del zulia,9.0,-71.9135,29.66,67,54,3.03,VE,1707174875
462,estacion santa engracia,24.0159,-99.2015,25.14,20,0,5.3,MX,1707174876
463,aykhal,66.0,111.5,-21.06,99,100,2.32,RU,1707174876
464,hobyo,5.3505,48.5268,25.88,80,89,7.16,SO,1707174876
465,peace river,56.2501,-117.286,-2.83,54,100,2.57,CA,1707174877
466,urucara,-2.5364,-57.76,27.27,75,85,1.48,BR,1707174877
467,cockburn town,21.4612,-71.1419,25.69,82,27,5.51,TC,1707174877
468,tralee,52.2704,-9.7026,11.02,83,100,6.35,IE,1707174877
469,san carlos,9.6612,-68.5827,26.66,79,88,0.97,VE,1707174878
470,sorong,-0.8833,131.25,27.22,81,100,3.58,ID,1707174878
471,sitka,57.0531,-135.33,3.94,87,40,0.0,US,1707174878
472,martapura,-3.4167,114.85,26.05,100,40,2.57,ID,1707174878
473,bodaybo,57.8506,114.1933,-12.76,95,100,0.83,RU,1707174879
474,monrovia,6.3005,-10.7969,26.85,87,17,2.83,LR,1707174879
475,ponta delgada,37.7333,-25.6667,18.44,94,75,5.14,PT,1707174879
476,cabo san lucas,22.8909,-109.9124,29.78,35,20,4.12,MX,1707174834
477,neftcala,39.3742,49.2472,7.97,55,89,4.67,AZ,1707174880
478,mahina,-17.5065,-149.489,26.53,94,75,7.72,PF,1707174714
479,goure,13.9835,10.2704,17.14,15,37,5.19,NE,1707174880
480,beterou,9.1992,2.2586,25.57,17,85,2.19,BJ,1707174880
481,hacienda huancane,-15.8222,-70.8856,3.08,92,97,0.52,PE,1707174880
482,isla vista,34.4133,-119.861,16.11,88,75,4.12,US,1707174720
483,tadmur,34.5608,38.2805,9.72,80,43,5.72,SY,1707174881
484,scottburgh,-30.2867,30.7532,22.95,91,41,3.43,ZA,1707174881
485,quelimane,-17.8786,36.8883,24.25,90,1,1.69,MZ,1707174881
486,tokoroa,-38.2333,175.8667,25.54,44,2,1.8,NZ,1707174601
487,naze,28.3667,129.4833,14.18,68,7,5.96,JP,1707174882
488,karaikal,10.9167,79.8333,23.58,82,4,3.45,IN,1707174882
489,dinan,48.4167,-2.25,10.26,85,100,4.83,FR,1707174882
490,yokadouma,3.5167,15.05,23.25,30,70,0.72,CM,1707174883
491,ganshui,28.7422,106.7111,5.66,95,100,0.58,CN,1707174883
492,feijo,-8.1642,-70.3536,24.4,97,38,1.39,BR,1707174883
493,pontianak,-0.0333,109.3333,24.99,100,40,1.03,ID,1707174883
494,ingeniero guillermo n. juarez,-23.9,-61.85,35.78,26,54,5.27,AR,1707174884
495,galliano,29.4422,-90.2992,14.44,74,84,6.67,US,1707174884
496,kendari,-3.945,122.4989,24.8,89,100,0.62,ID,1707174884
497,kembe,4.6228,21.8865,23.22,35,55,0.57,CF,1707174884
498,pilona,43.35,-5.3667,10.25,90,100,1.29,ES,1707174885
499,embi,48.8264,58.1442,1.28,80,100,10.16,KZ,1707174885
500,hadibu,12.65,54.0333,24.68,73,16,3.21,YE,1707174885
501,colonia,50.9333,6.95,9.42,76,100,4.63,DE,1707174885
502,qala i naw,34.9874,63.1289,5.68,39,0,3.43,AF,1707174886
503,bandon,51.7469,-8.7425,10.77,82,100,8.57,IE,1707174886
504,damara,4.9608,18.7035,25.72,29,31,1.18,CF,1707174886
505,aswan,24.0934,32.907,12.16,37,4,5.18,EG,1707174887
506,sinabang,2.4803,96.3801,26.79,81,100,0.48,ID,1707174887
507,ciudad lazaro cardenas,17.9583,-102.2,27.2,65,1,3.47,MX,1707174616
508,menaka,15.9182,2.4022,20.14,13,100,5.71,ML,1707174887
509,piton saint-leu,-21.2196,55.3151,20.06,68,0,3.09,RE,1707174888
510,rybinsk,58.0446,38.8426,-14.82,99,98,1.34,RU,1707174888
511,sonargaon,23.6422,90.6023,17.46,65,15,1.13,BD,1707174888
512,banamba,13.55,-7.45,22.92,9,0,4.29,ML,1707174889
513,kimbe,-5.5502,150.1429,29.31,73,52,0.54,PG,1707174889
514,kununurra,-15.7667,128.7333,29.99,70,2,0.0,AU,1707174889
515,sittwe,20.15,92.9,19.59,60,3,3.63,MM,1707174889
516,tsaratanana,-16.7833,47.65,23.57,93,100,1.08,MG,1707174890
517,ha'il,27.5219,41.6907,6.01,65,0,1.03,SA,1707174890
518,macaubas,-13.0194,-42.6986,22.75,74,100,1.56,BR,1707174890
519,ohara,35.25,140.3833,5.4,95,100,8.95,JP,1707174893
520,peelo,53.0167,6.5833,10.01,82,100,10.8,NL,1707174893
521,marsa alam,25.0757,34.8918,17.31,57,0,7.4,EG,1707174703
522,crane,31.3974,-102.3501,15.18,36,6,1.28,US,1707174894
523,tobelo,1.7284,128.0095,26.02,86,100,3.01,ID,1707174894
524,tofol,5.3248,163.0078,28.88,74,75,7.2,FM,1707174894
525,geraldton,-28.7667,114.6,22.23,30,68,7.72,AU,1707174869
526,meadow lake,34.8014,-106.5436,14.27,25,97,1.85,US,1707174895
527,tapah road,4.1667,101.2,22.92,89,100,1.47,MY,1707174895
528,caucete,-31.6518,-68.2811,37.05,25,6,3.08,AR,1707174895
